xMin 0.0 xMax 20.0 yMin 0.0 yMax 10.3923048454133 zMin 0.50 zMax 22.0
Particles 3480
id	x-position	y-position	z-position	radius
83	6.5	9.16025403784439	0.5	0.5
84	6	10.0262794416288	0.5	0.5
85	7.5	0.5	0.5	0.5
86	7	1.36602540378444	0.5	0.5
87	7.5	2.23205080756888	0.5	0.5
88	7	3.09807621135332	0.5	0.5
89	7.5	3.96410161513775	0.5	0.5
90	7	4.83012701892219	0.5	0.5
91	7.5	5.69615242270663	0.5	0.5
92	7	6.56217782649107	0.5	0.5
93	7.5	7.42820323027551	0.5	0.5
94	7	8.29422863405995	0.5	0.5
95	7.5	9.16025403784439	0.5	0.5
96	7	10.0262794416288	0.5	0.5
97	8.5	0.5	0.5	0.5
98	8	1.36602540378444	0.5	0.5
99	8.5	2.23205080756888	0.5	0.5
100	8	3.09807621135332	0.5	0.5
101	8.5	3.96410161513775	0.5	0.5
102	8	4.83012701892219	0.5	0.5
103	8.5	5.69615242270663	0.5	0.5
104	8	6.56217782649107	0.5	0.5
105	8.5	7.42820323027551	0.5	0.5
106	8	8.29422863405995	0.5	0.5
107	8.5	9.16025403784439	0.5	0.5
108	8	10.0262794416288	0.5	0.5
109	9.5	0.5	0.5	0.5
110	9	1.36602540378444	0.5	0.5
111	9.5	2.23205080756888	0.5	0.5
112	9	3.09807621135332	0.5	0.5
113	9.5	3.96410161513775	0.5	0.5
114	9	4.83012701892219	0.5	0.5
115	9.5	5.69615242270663	0.5	0.5
116	9	6.56217782649107	0.5	0.5
117	9.5	7.42820323027551	0.5	0.5
118	9	8.29422863405995	0.5	0.5
119	9.5	9.16025403784439	0.5	0.5
120	9	10.0262794416288	0.5	0.5
121	10.5	0.5	0.5	0.5
122	10	1.36602540378444	0.5	0.5
123	10.5	2.23205080756888	0.5	0.5
124	10	3.09807621135332	0.5	0.5
125	10.5	3.96410161513775	0.5	0.5
126	10	4.83012701892219	0.5	0.5
127	10.5	5.69615242270663	0.5	0.5
128	10	6.56217782649107	0.5	0.5
129	10.5	7.42820323027551	0.5	0.5
130	10	8.29422863405995	0.5	0.5
131	10.5	9.16025403784439	0.5	0.5
132	10	10.0262794416288	0.5	0.5
133	11.5	0.5	0.5	0.5
134	11	1.36602540378444	0.5	0.5
135	11.5	2.23205080756888	0.5	0.5
136	11	3.09807621135332	0.5	0.5
137	11.5	3.96410161513775	0.5	0.5
138	11	4.83012701892219	0.5	0.5
139	11.5	5.69615242270663	0.5	0.5
140	11	6.56217782649107	0.5	0.5
